id,name,species,breed,age_years,sex,color,weight_kg,arrival_date,vaccinated,microchipped,energy_level,friendliness_level,personality_description,image_url
1,Bella,Cat,Sphynx,12.0,F,black,7.36,2024-03-14,False,True,1.3,5.2,This 12.0-year-old Sphynx cat is calm and relaxed and balanced temperament. Gentle soul. loves cozy spots curious about everything grooms meticulously. loves mealtime. Perfect for a quiet home. She would make a wonderful addition to the right home.,https://placecats.com/200/200
2,Whiskers,Cat,Sphynx,9.4,F,brown,2.64,2023-12-12,True,False,8.9,4.8,This 9.4-year-old Sphynx cat is loves to run and play and balanced temperament. Set in their ways. curious about everything gentle with children uses scratching post regularly. enjoys being brushed. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/201/201
3,Lily,Dog,Chihuahua,7.9,F,grey,6.67,2025-08-05,True,False,1.7,6.9,This 7.9-year-old Chihuahua dog is sedentary lifestyle and moderately social. Senior with wisdom. loves fetch and outdoor games enjoys car rides needs daily exercise. enjoys being brushed. Needs a home with a yard. She would make a wonderful addition to the right home.,https://placedog.net/202
4,Bella,Cat,British Shorthair,0.4,F,black,5.14,2024-03-16,True,False,8.2,3.0,This 0.4-year-old British Shorthair cat is thrives on activity and reserved personality. Needs training and guidance. gentle with children uses scratching post regularly loves to chase toys. enjoys napping in sunbeams. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/203/203
5,Leo,Dog,Husky,2.2,F,white,40.43,2024-04-07,False,False,2.3,7.2,This 2.2-year-old Husky dog is prefers lounging and loves everyone they meet. Fully grown. responds well to training protective of family enjoys dog parks and socializing. enjoys being brushed. Best with experienced pet owners. She would make a wonderful addition to the right home.,https://placedog.net/204
6,Duke,Cat,British Shorthair,1.6,F,orange,7.75,2025-05-14,False,True,2.0,5.2,This 1.6-year-old British Shorthair cat is prefers lounging and warms up after introduction. Exploring the world. independent but loving playful with laser pointers enjoys climbing and perching high. enjoys gentle petting. Would thrive in an active household. She would make a wonderful addition to the right home.,https://placecats.com/205/205
7,Rocky,Cat,Sphynx,0.7,M,gold,2.1,2024-09-12,True,True,7.0,8.8,This 0.7-year-old Sphynx cat is loves to run and play and loves everyone they meet. Exploring the world. uses scratching post regularly enjoys window watching enjoys climbing and perching high. enjoys being brushed. Wonderful for first-time owners. He would make a wonderful addition to the right home.,https://placecats.com/206/206
8,Bella,Cat,Maine Coon,3.0,M,gold,7.07,2025-02-05,True,False,3.8,6.4,This 3.0-year-old Maine Coon cat is mellowed with age and moderately social. In their prime. grooms meticulously purrs when content playful with laser pointers. loves mealtime. Suited for apartment living. He would make a wonderful addition to the right home.,https://placecats.com/207/207
9,Duke,Dog,Beagle,6.3,M,orange,42.81,2024-12-29,True,True,8.7,2.0,This 6.3-year-old Beagle dog is needs lots of exercise and takes time to trust. Settled into routines. excellent walking companion needs daily exercise loves treats and food puzzles. loves outdoor adventures. Wonderful for first-time owners. He would make a wonderful addition to the right home.,https://placedog.net/208
10,Buddy,Dog,Husky,13.2,F,white,21.03,2025-03-22,False,False,2.8,9.2,This 13.2-year-old Husky dog is sedentary lifestyle and very sociable. Senior with wisdom. protective of family good with children barks to communicate. loves interactive play. Suited for apartment living. She would make a wonderful addition to the right home.,https://placedog.net/209
11,Max,Cat,Ragdoll,5.7,F,cream,7.6,2024-01-05,False,False,5.8,4.9,This 5.7-year-old Ragdoll cat is moderately active and warms up after introduction. In their prime. purrs when content gentle with children enjoys climbing and perching high. loves interactive play. Suited for apartment living. She would make a wonderful addition to the right home.,https://placecats.com/210/210
12,Max,Cat,Sphynx,12.3,M,cream,2.92,2023-11-16,False,True,8.5,8.7,This 12.3-year-old Sphynx cat is always on the move and craves human attention. Set in their ways. gentle with children curious about everything playful with laser pointers. loves outdoor adventures. Would thrive in an active household. He would make a wonderful addition to the right home.,https://placecats.com/211/211
13,Buddy,Cat,Bengal,7.3,F,cream,2.24,2025-09-03,False,False,3.2,6.5,This 7.3-year-old Bengal cat is prefers lounging and affectionate with trusted people. Calmer with age. grooms meticulously loves to chase toys enjoys quiet environments. loves belly rubs. Great for families with kids. She would make a wonderful addition to the right home.,https://placecats.com/212/212
